,HPSO,Baseline,Stations,Total Time [s],Tobs [h],Ingest [Pflop/s],RCAL [Pflop/s],FastImg [Pflop/s],ICAL [Pflop/s],DPrepA [Pflop/s],DPrepB [Pflop/s],DPrepC [Pflop/s],DPrepD [Pflop/s],Total RT [Pflop/s],Total Batch [Pflop/s],Total [Pflop/s],Ingest Rate [TB/s],Channels,PSS [Pflop/s],PST [Pflop/s],SinglePulse [Pflop/s]
10,hpso37a,75000.0,197.0,36000000.0,3.8,0.13997591674727836,0.25632061296085207,0.1692736416095908,1.7555016440139082,1.8134874807540833,1.8986217000214127,0.0,0.0,0.5655701713177212,5.467610824789404,6.033180996107125,0.10160953670479114,16384.0,,,
11,hpso37b,75000.0,197.0,7200000.0,8.0,0.13997591674727836,0.25632061296085207,0.1692736416095908,2.308311121569021,1.8134829365596465,1.8920260052063145,0.0,0.0,0.5655701713177212,6.013820063334982,6.579390234652703,0.10160953670479114,16384.0,,,
12,hpso37c,75000.0,197.0,7200000.0,8.0,0.13997591674727836,0.25632061296085207,0.1692736416095908,2.308311121569021,1.8134829365596465,1.8920260052063145,0.0,0.0,0.5655701713177212,6.013820063334982,6.579390234652703,0.10160953670479114,16384.0,,,
13,hpso38a,75000.0,197.0,3600000.0,8.0,0.1372509278285167,0.2007163765577108,0.16772456713549655,1.5045414630984704,1.5610880662981605,1.5944068131604434,0.0,0.0,0.505691871521724,4.660036342557074,5.165728214078798,0.09963132409721867,16384.0,,,
14,hpso38b,75000.0,197.0,3600000.0,8.0,0.1372509278285167,0.2007163765577108,0.16772456713549655,1.8076434282468166,1.5610880662981605,1.5944068131604434,0.0,0.0,0.505691871521724,4.963138307705421,5.468830179227145,0.09963132409721867,16384.0,,,
0,hpso04b,5000.0,64.0,2880000.0,0.16666666666666666,0.001241334805331634,0.00040451810588052286,0.00021324257401861228,0.0,0.0,0.0,0.0,0.0,0.0018590954852307693,0.0005008799999999998,0.002359975485230769,0.0010232363276548582,32768.0,0.00050088,,
1,hpso04c,5000.0,64.0,8640000.0,0.16666666666666666,0.0012571715853137125,0.00024106029420495077,0.0001427539009063685,0.0,0.0,0.0,0.0,0.0,0.0016409857804250316,0.00050088,0.0021418657804250316,0.0010232363276548582,32768.0,0.00050088,,
2,hpso05b,5000.0,64.0,5760000.0,0.25,0.0012511697138501284,0.0005603833583216677,0.0003236377034209047,0.0,0.0,0.0,0.0,0.0,0.0021351907755927007,2.754999999998384e-07,0.0021354662755927005,0.0010232363276548582,32768.0,,2.755e-07,
3,hpso13,5000.0,64.0,18000000.0,8.0,0.0012380414590023726,0.00021315830076293628,0.0001246885454490471,0.002070608100760763,0.00047226450517167583,0.0007068023552195523,0.011310075720681167,0.0,0.0015758883052143559,0.014559750681833157,0.016135638987047514,0.0010232363276548582,32768.0,,,
4,hpso14,5000.0,64.0,7200000.0,8.0,0.0012622282219143216,0.0002520631606504626,0.00014758692205258083,0.0012728777779094644,0.0005681708914273471,0.0010784855568929893,0.01667502808426294,0.0,0.001661878304617365,0.01959456231049274,0.021256440615110103,0.0010232363276548582,32768.0,,,
5,hpso15,5000.0,64.0,45360000.0,4.4,0.0012367382053580353,0.00020055642074828906,0.00012346868796661107,0.0010449072842262058,0.0004509563714473172,0.0013030883902066838,0.01222625631400675,0.0,0.0015607633140729354,0.015025208359886957,0.016585971673959893,0.0010232363276548582,32768.0,,,
6,hpso18,5000.0,64.0,36000000.0,0.016666666666666666,0.001241334805331634,0.00040451810588052286,0.00021324257401861228,0.0,0.0,0.0,0.0,0.0,0.0018590954852307693,4.000000000000097e-06,0.0018630954852307694,0.0010232363276548582,32768.0,,,4e-06
7,hpso22,5000.0,64.0,21600000.0,8.0,0.0012494181796183692,0.00028978026558082915,0.00022728295676323362,0.002660930351354924,0.0009195997137301008,0.004347969572859844,0.0,0.0,0.001766481401962432,0.007928499637944869,0.009694981039907302,0.0010232363276548582,32768.0,,,
8,hpso27and33,5000.0,64.0,36000000.0,0.12333333333333334,0.0012891123974318219,0.0005393523304802856,0.0002976786754494092,0.00452674400102306,0.001586497051781325,0.1471236832810421,0.0,0.0,0.0021261434033615165,0.1532369243338465,0.155363067737208,0.0010232363276548582,32768.0,,,
9,hpso32,5000.0,64.0,36000000.0,2.2,0.0012951431293849315,0.0011625807591820368,0.0005664946665832602,0.0027386599948924753,0.0,0.007457556027504391,0.0,0.0,0.0030242185551502287,0.010196216022396867,0.013220434577547095,0.0010232363276548582,32768.0,,,
10,hpso37a,5000.0,64.0,36000000.0,3.8,0.0012891123974318219,0.0005393523304802856,0.0002976786754494092,0.0028081672719053098,0.001345008589521903,0.006272645159479422,0.0,0.0,0.0021261434033615165,0.010425821020906634,0.01255196442426815,0.0010232363276548582,32768.0,,,
11,hpso37b,5000.0,64.0,7200000.0,8.0,0.0012891123974318219,0.0005393523304802856,0.0002976786754494092,0.004907329468421544,0.0013407557215442147,0.0037921089713458265,0.0,0.0,0.0021261434033615165,0.010040194161311586,0.012166337564673103,0.0010232363276548582,32768.0,,,
12,hpso37c,5000.0,64.0,7200000.0,8.0,0.0012891123974318219,0.0005393523304802856,0.0002976786754494092,0.004907329468421544,0.0013407557215442147,0.0037921089713458265,0.0,0.0,0.0021261434033615165,0.010040194161311586,0.012166337564673103,0.0010232363276548582,32768.0,,,
13,hpso38a,5000.0,64.0,3600000.0,8.0,0.001264026695125018,0.00033065558502023545,0.00025291650464503366,0.0019430908880747803,0.0010481609008077973,0.004381765885044298,0.0,0.0,0.001847598784790287,0.007373017673926875,0.009220616458717162,0.0010232363276548582,32768.0,,,
14,hpso38b,5000.0,64.0,3600000.0,8.0,0.001264026695125018,0.00033065558502023545,0.00025291650464503366,0.003028898041554467,0.0010481609008077973,0.004381765885044298,0.0,0.0,0.001847598784790287,0.008458824827406564,0.01030642361219685,0.0010232363276548582,32768.0,,,
0,hpso04b,10000.0,102.0,2880000.0,0.16666666666666666,0.014026470194266576,0.0025422833733227098,0.0011070756873262858,0.0,0.0,0.0,0.0,0.0,0.017675829254915572,0.0005008799999999987,0.01817670925491557,0.010181316941575452,65536.0,0.00050088,,
1,hpso04c,10000.0,102.0,8640000.0,0.16666666666666666,0.01420548314747717,0.0014796924375503119,0.0007307480594907032,0.0,0.0,0.0,0.0,0.0,0.016415923644518188,0.0005008799999999987,0.016916803644518186,0.010311271865255356,65536.0,0.00050088,,
2,hpso05b,10000.0,102.0,5760000.0,0.25,0.014137640269271976,0.0039255895714765945,0.001713090625750388,0.0,0.0,0.0,0.0,0.0,0.01977632046649896,2.7550000000070574e-07,0.01977659596649896,0.010262021149587817,65536.0,,2.755e-07,
3,hpso13,10000.0,102.0,18000000.0,8.0,0.013989243456696592,0.0013034141491520914,0.0006284665982650647,0.011943275646218488,0.0035410648049138157,0.00358203471843458,0.030576440616694702,0.0,0.01592112420411375,0.04964281578626159,0.06556393999037534,0.01015429209363572,65536.0,,,
4,hpso14,10000.0,102.0,7200000.0,8.0,0.0142626414493676,0.0015534052491689584,0.0007584884361181784,0.007953290260583204,0.004314004103205403,0.004687784397055477,0.04285469940445429,0.0,0.016574535134654737,0.05980977816529838,0.07638431329995311,0.010352766084677034,65536.0,,,
5,hpso15,10000.0,102.0,45360000.0,4.4,0.013974511971892279,0.001217874878039734,0.0006216427462133171,0.006391062952202936,0.003401519067891009,0.004134505096393553,0.02505253661179586,0.0,0.015814029596145328,0.03897962372828336,0.05479365332442869,0.010143597733539978,65536.0,,,
6,hpso18,10000.0,102.0,36000000.0,0.016666666666666666,0.014026470194266576,0.0025422833733227098,0.0011070756873262858,0.0,0.0,0.0,0.0,0.0,0.017675829254915572,4.000000000000531e-06,0.017679829254915572,0.010181316941575452,65536.0,,,4e-06
