Pipeline,hpso,Baseline,Antenna stations,Channels,Visibility read rate,Image Spectral Fitting,IFFT,Reprojection Predict,Reprojection,Subtract Image Component,Phase Rotation Predict,Degrid,Visibility Weighting,Phase Rotation,Identify Component,Gridding Kernel Update,Subtract Visibility,Source Find,Correct,DFT,Solve,Flag,Average,Receive,Demix,FFT,Grid,Degridding Kernel Update
FastImg_data,hpso04b,150000.0,102.0,16384.0,0.02893508022857143,0.0,0.06550455603231,0.0,0.0,0.0,602.8141714285714,164470.3396721517,55.51236596556508,602.8141714285714,0.0,1.26557085718761,602.8141714285714,0.0,602.8141714285714,602.8141714285714,0.0,602.8141714285714,0.0,0.0,0.0,0.06550455603231,164470.3396721517,1.26557085718761
PSS,hpso04b,150000.0,102.0,16384.0,0.00264644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSS_data,hpso04b,150000.0,102.0,16384.0,0.00264644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ingest,hpso04c,150000.0,102.0,16384.0,0.02893508022857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006836032073142856,1.9672034742857138e-05,9.865160228571426e-06,0.03993666287711999,0.0,0.0,0.0
Ingest_data,hpso04c,150000.0,102.0,16384.0,0.02893508022857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCAL,hpso04c,150000.0,102.0,16384.0,0.05787016045714286,0.0,0.013292209411497103,0.00877551064235567,0.0017551021284711343,0.0,0.00675151872,0.00464560864000534,1.1203128843112541e-05,0.00675151872,0.0,0.005053700948339478,4.822513371428571e-06,0.0,7.716021394285714e-05,0.04229315578148571,9.653017014857145e-05,0.0006727406153142856,0.0,0.0,0.0,0.0026584418822994207,0.00464560864000534,0.005053700948339478
RCAL_data,hpso04c,150000.0,102.0,16384.0,0.05787016045714286,0.0,0.18140607737568706,6581.632981766752,1316.3265963533504,0.0,602.8141714285714,1371.1428000837534,1.7504888817363347,602.8141714285714,0.0,0.18577567121237126,602.8141714285714,0.0,602.8141714285714,602.8141714285714,602.8141714285715,602.8141714285714,0.0,0.0,0.0,0.036281215475137414,1371.1428000837534,0.18577567121237126
FastImg,hpso04c,150000.0,102.0,16384.0,0.02893508022857143,0.0,0.028955400852821,0.0,0.0,0.0,0.0,9.824262857199136e-05,1.1402491543898542e-06,0.0,0.0,1.1534175036605046e-05,2.4112566857142855e-06,0.0,9.645026742857142e-06,0.04229315578148571,0.0,0.0003363703076571428,0.0,0.0,0.0,0.028955400852821,9.824262857199136e-05,1.1534175036605046e-05
FastImg_data,hpso04c,150000.0,102.0,16384.0,0.02893508022857143,0.0,0.06718743606506927,0.0,0.0,0.0,602.8141714285714,67624.52185621508,35.63278607468294,602.8141714285714,0.0,0.8958608565059121,602.8141714285714,0.0,602.8141714285714,602.8141714285714,0.0,602.8141714285714,0.0,0.0,0.0,0.06718743606506927,67624.52185621508,0.8958608565059121
PSS,hpso04c,150000.0,102.0,16384.0,0.00264644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSS_data,hpso04c,150000.0,102.0,16384.0,0.00264644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ingest,hpso05b,150000.0,102.0,16384.0,0.02893508022857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006836032073142856,1.9672034742857138e-05,9.865160228571426e-06,0.03993666287711999,0.0,0.0,0.0
Ingest_data,hpso05b,150000.0,102.0,16384.0,0.02893508022857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCAL,hpso05b,150000.0,102.0,16384.0,0.05787016045714286,0.0,0.012801726991509589,0.00860904679780637,0.0017218093595612737,0.0,0.0097221869568,0.010715553929570723,3.2234527215969405e-05,0.0097221869568,0.0,0.014200838414406577,4.822513371428571e-06,0.0,7.716021394285714e-05,0.04229315578148571,9.653017014857145e-05,0.0006727406153142856,0.0,0.0,0.0,0.0025603453983019183,0.010715553929570723,0.014200838414406577
RCAL_data,hpso05b,150000.0,102.0,16384.0,0.05787016045714286,0.0,0.14973106792720325,4483.878540524151,896.7757081048301,0.0,602.8141714285714,1811.0192600229673,3.4976700538161243,602.8141714285714,0.0,0.1359288880426999,602.8141714285714,0.0,602.8141714285714,602.8141714285714,602.8141714285715,602.8141714285714,0.0,0.0,0.0,0.029946213585440647,1811.0192600229673,0.1359288880426999
FastImg,hpso05b,150000.0,102.0,16384.0,0.02893508022857143,0.0,0.028381670313532368,0.0,0.0,0.0,0.0,0.0001702203162797029,2.0960975542811518e-06,0.0,0.0,3.499663250657709e-05,2.4112566857142855e-06,0.0,9.645026742857142e-06,0.04229315578148571,0.0,0.0003363703076571428,0.0,0.0,0.0,0.028381670313532368,0.0001702203162797029,3.499663250657709e-05
FastImg_data,hpso05b,150000.0,102.0,16384.0,0.02893508022857143,0.0,0.06654714130097922,0.0,0.0,0.0,602.8141714285714,105363.89353751592,65.50304857128599,602.8141714285714,0.0,0.9438453814412979,602.8141714285714,0.0,602.8141714285714,602.8141714285714,0.0,602.8141714285714,0.0,0.0,0.0,0.06654714130097922,105363.89353751592,0.9438453814412979
PST,hpso05b,150000.0,102.0,16384.0,0.0008589934592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PST_data,hpso05b,150000.0,102.0,16384.0,0.0008589934592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ingest,hpso13,35000.0,102.0,16384.0,0.010624190910269832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002518372561206738,7.247115284048167e-06,3.636094365646847e-06,0.01471372702951063,0.0,0.0,0.0
Ingest_data,hpso13,35000.0,102.0,16384.0,0.010624190910269832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCAL,hpso13,35000.0,102.0,16384.0,0.009877270323052486,0.0,0.0013326116477456868,0.0004493405633972716,8.986811267945434e-05,0.0,0.0005646506201345004,0.0003612753056237494,1.3118484387613552e-06,0.0005646506201345004,0.0,0.0008826687470050791,8.231058602543737e-07,0.0,1.316969376406998e-05,0.008457326447567531,1.6542019925087474e-05,0.00011482326750548512,0.0,0.0,0.0,0.0002665223295491373,0.0003612753056237494,0.0008826687470050791
RCAL_data,hpso13,35000.0,102.0,16384.0,0.009877270323052486,0.0,0.05864154536099862,687.7661684652116,137.5532336930423,0.0,102.8882325317967,103.68049978938488,0.4183190174621668,102.8882325317967,0.0,0.0836729205072182,102.8882325317967,0.0,102.8882325317967,102.8882325317967,102.88823253179672,102.8882325317967,0.0,0.0,0.0,0.011728309072199725,103.68049978938488,0.0836729205072182
FastImg,hpso13,35000.0,102.0,16384.0,0.003067449625982007,0.0,0.001284420985451571,0.0,0.0,0.0,0.0,7.2617607128095885e-06,1.6890780448090147e-07,0.0,0.0,6.202404660767749e-06,2.556208021651672e-07,0.0,1.0224832086606688e-06,0.005252953903236189,0.0,3.5659101902040834e-05,0.0,0.0,0.0,0.001284420985451571,7.2617607128095885e-06,6.202404660767749e-06
FastImg_data,hpso13,35000.0,102.0,16384.0,0.003067449625982007,0.0,0.01520336361211075,0.0,0.0,0.0,63.905200541291805,1290.170342026615,5.278368890028172,63.905200541291805,0.0,0.39190903398920024,63.905200541291805,0.0,63.905200541291805,63.905200541291805,0.0,63.905200541291805,0.0,0.0,0.0,0.01520336361211075,1290.170342026615,0.39190903398920024
ICAL,hpso13,35000.0,102.0,16384.0,0.04938635161526242,0.0,0.01199350557628329,0.004044065070575445,0.000808813014115089,2.098176125e-05,0.005081855581210503,0.0032514776419324855,1.1806635948852198e-05,0.005081855581210503,0.0002572372037015925,0.007944018383783573,7.4079527422893625e-06,1.875e-12,0.0001185272438766298,0.07611593802810779,0.00019769988505304972,0.001033409407549366,0.0,0.0,0.0,0.002398701115256658,0.0032514776419324855,0.007944018383783573
ICAL_data,hpso13,35000.0,102.0,16384.0,0.04938635161526242,0.0,0.05864154536099861,687.7661684652116,137.5532336930423,137.5532336930423,102.8882325317967,103.68049572836055,0.4183190174621668,102.8882325317967,137.5532336930423,0.08367291880940592,102.8882325317967,9e-06,102.8882325317967,102.8882325317967,102.88823253179672,102.8882325317967,0.0,0.0,0.0,0.011728309072199723,103.68049572836055,0.08367291880940592
DPrepA,hpso13,35000.0,102.0,16384.0,0.010974970697635363,0.0,0.0009027048679581155,0.0003390086555123447,0.0003390086555123447,1.2822187430555555e-06,0.0010563409296474036,0.0012189533104524622,1.004077350546155e-06,0.0002112681859294807,5.80529774536587e-06,0.0006543289635577781,1.676731634360958e-06,0.0,2.6827706149775327e-05,0.034456483622584466,0.0,0.00023390406299335367,0.0,0.0,0.0,0.0009027048679581155,0.0012189533104524622,0.0006543289635577781
DPrepA_data,hpso13,35000.0,102.0,16384.0,0.010974970697635363,0.0,0.010135575741407167,102.72989560980143,102.72989560980143,102.72989560980143,38.10753714456723,28.83205179924852,0.3169436081269429,7.621507428913446,102.72989560980143,0.06923968802035808,38.10753714456723,0.0,38.10753714456723,38.10753714456723,0.0,38.10753714456723,0.0,0.0,0.0,0.010135575741407167,28.83205179924852,0.06923968802035808
DPrepB,hpso13,35000.0,102.0,16384.0,0.010974970697635363,0.0,0.0012375651420832082,0.00018833814195130265,0.00018833814195130265,0.00020515499888888887,0.0,0.0004578607536199274,7.624739592007368e-07,0.0,0.00010650121073509657,0.0006075331269933056,1.676731634360958e-06,0.0,2.6827706149775327e-05,0.034456483622584466,0.0,0.00023390406299335367,0.0,0.0,0.0,0.0012375651420832082,0.0004578607536199274,0.0006075331269933056
