,HPSO,Baseline,Stations,Total Time [s],Tobs [h],Ingest [Pflop/s],RCAL [Pflop/s],FastImg [Pflop/s],ICAL [Pflop/s],DPrepA [Pflop/s],DPrepB [Pflop/s],DPrepC [Pflop/s],DPrepD [Pflop/s],Total RT [Pflop/s],Total Batch [Pflop/s],Total [Pflop/s],Ingest Rate [TB/s],Channels,PSS [Pflop/s],PST [Pflop/s]
2,hpso02b,65000.0,128.0,18000000.0,5.0,0.019882786028657777,0.05076463825349772,0.024042588133682253,0.324936760765094,0.17674907134768486,0.21662189971711399,0.44333301416727666,0.016132998867626668,0.09469001241583774,1.1777737448647962,1.2724637572806339,0.01442840576,16384.0,,
3,hpso04a,65000.0,128.0,45900000.0,0.6666666666666666,0.009941393014328889,0.019296404763134274,0.008825828144499772,0.0,0.0,0.0,0.0,0.0,0.03806362592196293,0.0005008800000000022,0.038564505921962935,0.00721420288,16384.0,0.00050088,
4,hpso05a,65000.0,128.0,15480000.0,0.6666666666666666,0.009941393014328889,0.019296404763134274,0.008825828144499772,0.0,0.0,0.0,0.0,0.0,0.03806362592196293,2.7550000000070574e-07,0.038063901421962934,0.00721420288,16384.0,,2.755e-07
0,hpso01,65000.0,128.0,18000000.0,5.0,0.039757914963057785,0.06640654948763179,0.027345518650900708,0.6111775107580499,0.17674907134768486,0.21662189971711399,0.4836068847653429,0.018686014373958646,0.1335099831015903,1.5068413809621504,1.6403513640637406,0.02885681152,32768.0,,
1,hpso02a,65000.0,128.0,18000000.0,5.0,0.039757914963057785,0.06640654948763179,0.027345518650900708,0.3407623111081685,0.17674907134768486,0.21662189971711399,0.4836068847653429,0.018686014373958646,0.1335099831015903,1.236426181312269,1.3699361644138592,0.02885681152,32768.0,,
2,hpso02b,65000.0,128.0,18000000.0,5.0,0.039757914963057785,0.06640654948763179,0.027345518650900708,0.3407623111081685,0.17674907134768486,0.21662189971711399,0.4836068847653429,0.018686014373958646,0.1335099831015903,1.236426181312269,1.3699361644138592,0.02885681152,32768.0,,
3,hpso04a,65000.0,128.0,45900000.0,0.6666666666666666,0.019878957481528892,0.019296404763134274,0.008825828144499772,0.0,0.0,0.0,0.0,0.0,0.048001190389162944,0.0005008800000000022,0.048502070389162946,0.01442840576,32768.0,0.00050088,
4,hpso05a,65000.0,128.0,15480000.0,0.6666666666666666,0.019878957481528892,0.019296404763134274,0.008825828144499772,0.0,0.0,0.0,0.0,0.0,0.048001190389162944,2.7550000000070574e-07,0.048001465889162945,0.01442840576,32768.0,,2.755e-07
0,hpso01,65000.0,128.0,18000000.0,5.0,0.07950817283185779,0.06640654948763179,0.027345518650900708,0.6111775107580499,0.17674907134768486,0.21662189971711399,0.4836068847653429,0.018686014373958646,0.1732602409703903,1.5068413809621506,1.6801016219325409,0.05771362304,65536.0,,
1,hpso02a,65000.0,128.0,18000000.0,5.0,0.07950817283185779,0.06640654948763179,0.027345518650900708,0.3407623111081685,0.17674907134768486,0.21662189971711399,0.4836068847653429,0.018686014373958646,0.1732602409703903,1.236426181312269,1.4096864222826593,0.05771362304,65536.0,,
