Pipeline,hpso,Image Spectral Fitting,IFFT,Reprojection Predict,Reprojection,Subtract Image Component,Phase Rotation Predict,Degrid,Visibility Weighting,Phase Rotation,Identify Component,Gridding Kernel Update,Subtract Visibility,Source Find,Correct,DFT,Solve,Flag,Average,Receive,Demix,FFT,Grid,Degridding Kernel Update
ICAL,hpso13,-1.0,0.0008861527006613519,3.783609455423853e-05,7.567218910847706e-06,2.098176125e-05,0.0,0.00036002471874106115,1.7482452194515093e-06,0.0,5.2474109424247e-06,0.0008916103171619444,2.185306524314387e-07,1.875e-12,3.496490438903019e-06,0.0036870868347242095,6.403720096838365e-06,3.0485026014185693e-05,-1.0,-1.0,-1.0,0.0001772305401322704,0.00036002471874106115,0.0008916103171619444
ICAL_data,hpso13,-1.0,0.006055299808857551,0.006053775128678165,0.0012107550257356332,7.882519698799693e-07,0.0,0.0013111839145886319,0.0011864712294077915,0.0,5e-11,0.6170772880810544,0.0013111839145886319,1.44e-08,0.0013111839145886323,0.0013111839145886319,9.750186666666666e-08,0.0013111839145886323,-1.0,-1.0,-1.0,0.0012107550257356332,0.026767144488951733,0.6170772880810544
DPrepA,hpso13,-1.0,2.5691550636398184e-05,3.1717500388402966e-06,3.1717500388402966e-06,1.2822187430555555e-06,0.0,0.000169351568326182,1.9788175840012396e-07,0.0,6.414397621568236e-07,0.00012235582605176208,4.9470439600031e-08,-1.0,7.91527033600496e-07,0.001669347567746999,-1.0,6.901126324204325e-06,-1.0,-1.0,-1.0,2.5691550636398184e-05,0.000169351568326182,0.00012235582605176208
DPrepA_data,hpso13,-1.0,0.0005078250984361192,0.0005074800062144475,0.0005074800062144475,1.3215625161834572e-07,0.0,0.0007420565940004648,0.0003625328756523808,0.0,6.111111111111111e-12,0.03403207098666352,0.000296822637600186,-1.0,0.00029682263760018605,0.000296822637600186,-1.0,0.00029682263760018605,-1.0,-1.0,-1.0,0.0005074800062144475,0.004157801823796972,0.03403207098666352
DPrepB,hpso13,-1.0,1.8033693305962186e-05,2.5374000310722374e-06,2.5374000310722374e-06,0.00020515499888888887,0.0,3.426430863360514e-05,1.9788175840012396e-07,0.0,0.00010263036194509178,0.0001241008582802863,4.9470439600031e-08,-1.0,7.91527033600496e-07,0.001669347567746999,-1.0,6.901126324204325e-06,-1.0,-1.0,-1.0,1.8033693305962186e-05,3.426430863360514e-05,0.0001241008582802863
DPrepB_data,hpso13,-1.0,0.00040626007874889535,0.000405984004971558,0.000405984004971558,2.1145000258935314e-05,0.0,0.00014841131880009297,0.0003625328756523808,0.0,9.777777777777778e-10,0.04570499041233089,0.000296822637600186,-1.0,0.00029682263760018605,0.000296822637600186,-1.0,0.00029682263760018605,-1.0,-1.0,-1.0,0.000405984004971558,0.0008315603647593946,0.04570499041233089
DPrepC,hpso13,-1.0,2.3270384167917658e-05,3.1717500388402966e-06,5.0748000621444745e-05,0.004103099977777778,0.0,0.0006082949538061414,3.5235951204090133e-06,0.0,0.0020526072389018355,0.0009558699314160907,8.808987801022533e-07,-1.0,1.4094380481636056e-05,0.029725352106919095,-1.0,0.00012288537982426437,-1.0,-1.0,-1.0,0.0003723261466866825,0.0006082949538061414,0.0009558699314160907
DPrepC_data,hpso13,-1.0,0.0005078250984361192,0.0005074800062144475,0.00811968009943116,0.0004229000051787063,0.0,0.0026426963403067597,0.0006606740850766899,0.0,1.9555555555555553e-08,0.07486781971609982,0.00528539268061352,-1.0,0.005285392680613522,0.00528539268061352,-1.0,0.005285392680613522,-1.0,-1.0,-1.0,0.00811968009943116,0.00812520157497791,0.07486781971609982
Ingest,hpso14,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.00026029957822373264,7.490635344567846e-06,3.748183052020454e-06,0.015210538072363146,-1.0,-1.0,-1.0
Ingest_data,hpso14,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.011235953016851768,0.011010610385155814,0.011235953016851768,0.011235953016851768,-1.0,-1.0,-1.0
RCAL,hpso14,-1.0,8.830469311441489e-05,4.542456642678565e-06,9.084913285357129e-07,-1.0,0.0,4.744744275699271e-05,2.443022728933909e-07,0.0,-1.0,0.00011223613244652951,3.053778411167386e-08,-1.0,4.886045457867817e-07,0.0005152387571584644,9.088088022334773e-07,4.260020883578504e-06,-1.0,-1.0,-1.0,1.766093862288298e-05,4.744744275699271e-05,0.00011223613244652951
RCAL_data,hpso14,-1.0,0.0007269691589311603,0.0007267930628285704,0.00014535861256571408,-1.0,0.0,0.0001832267046700432,0.00013440686505317154,0.0,-1.0,0.05058869084470506,0.00018322670467004317,-1.0,0.00018322670467004317,0.00018322670467004317,5.0432e-08,0.00018322670467004317,-1.0,-1.0,-1.0,0.00014535861256571408,0.0039640880943102195,0.05058869084470506
FastImg,hpso14,-1.0,1.459113723382874e-05,-1.0,-1.0,-1.0,0.0,6.5268020519969636e-06,1.6113513787345613e-07,0.0,-1.0,1.400454255958459e-05,2.0141892234182016e-08,-1.0,8.056756893672806e-08,0.0006796749550398749,-1.0,2.8097939666683913e-06,-1.0,-1.0,-1.0,1.459113723382874e-05,6.5268020519969636e-06,1.400454255958459e-05
FastImg_data,hpso14,-1.0,0.0021558088749340006,-1.0,-1.0,-1.0,0.0,0.00012085135340509211,0.00018481426442647133,0.0,-1.0,4.828148902227388e-07,0.0001208513534050921,-1.0,0.0001208513534050921,0.0001208513534050921,-1.0,0.0001208513534050921,-1.0,-1.0,-1.0,0.0021534609268994685,0.02819397312507078,4.828148902227388e-07
ICAL,hpso14,-1.0,0.0002556336805725855,1.8169826570714264e-05,3.633965314142852e-06,2.098176125e-05,0.0,0.00025863678317044974,1.4658886110320709e-06,0.0,5.246386657633891e-06,0.0007001535911965356,1.8323607637900886e-07,1.875e-12,2.9317772220641418e-06,0.0030915906640398053,5.462531402106903e-06,2.5561432654871736e-05,-1.0,-1.0,-1.0,5.112673611451711e-05,0.00025863678317044974,0.0007001535911965356
ICAL_data,hpso14,-1.0,0.0029082288279298216,0.002907172251314282,0.0005814344502628563,3.7853805355654716e-07,0.0,0.001099416458274053,0.001209661785478544,0.0,5e-11,0.13019517542070785,0.001099416458274053,1.44e-08,0.001099416458274053,0.001099416458274053,9.750186666666666e-08,0.001099416458274053,-1.0,-1.0,-1.0,0.0005814344502628563,0.010572722644414952,0.13019517542070785
DPrepA,hpso14,-1.0,2.346419731672334e-05,3.4270934889893144e-06,3.4270934889893144e-06,1.2822187430555555e-06,0.0,0.0002097310040651839,2.4886965912910324e-07,0.0,6.414663604328808e-07,0.00014954236377303642,6.221741478227581e-08,-1.0,9.95478636516413e-07,0.0020994858925456814,-1.0,8.679329362127474e-06,-1.0,-1.0,-1.0,2.346419731672334e-05,0.0002097310040651839,0.00014954236377303642
DPrepA_data,hpso14,-1.0,0.0005486936725213439,0.0005483349582382903,0.0005483349582382903,1.4279556204122144e-07,0.0,0.000933261221734137,0.00036961887889622175,0.0,6.111111111111111e-12,0.02374900297901142,0.0003733044886936548,-1.0,0.0003733044886936548,0.0003733044886936548,-1.0,0.0003733044886936548,-1.0,-1.0,-1.0,0.0005483349582382903,0.0055416490489257255,0.02374900297901142
